Coin,classification_open,action_open,action_close,classification_close,count_trades,avg_pnl,total_pnl,win_rate
@109,Extreme Fear,open_short,close_short,Extreme Fear,1,-0.33943,-0.67886,0.0
@109,Fear,open_long,close_long,Fear,14,323.22472341176467,5494.820298,1.0
@109,Fear,open_short,close_short,Fear,3,-0.9236477777777776,-8.31283,0.0
@109,Neutral,open_long,close_long,Neutral,13,414.1986958461538,16153.749138,1.0
@109,Neutral,open_short,close_short,Neutral,2,-1.1722366666666668,-3.51671,0.0
@109,Greed,open_long,close_long,Greed,14,362.6467781333333,5439.701672,1.0
@109,Greed,open_short,close_short,Greed,3,-0.719832,-3.5991600000000004,0.0
@109,Extreme Greed,open_long,close_long,Extreme Greed,14,386.5815970714285,5412.142359,1.0
@109,Extreme Greed,open_short,close_short,Extreme Greed,3,-0.6843725,-2.73749,0.0
@11,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@11,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@11,Fear,open_long,close_long,Fear,0,,0.0,
@11,Fear,open_short,close_short,Fear,0,,0.0,
@11,Neutral,open_long,close_long,Neutral,0,,0.0,
@11,Neutral,open_short,close_short,Neutral,0,,0.0,
@11,Greed,open_long,close_long,Greed,0,,0.0,
@11,Greed,open_short,close_short,Greed,0,,0.0,
@11,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@11,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@112,Extreme Fear,open_long,close_long,Extreme Fear,2,-42.5168894,-212.584447,0.4
@112,Extreme Fear,open_short,close_short,Extreme Fear,2,-0.4137093999999999,-2.068547,0.0
@112,Fear,open_long,close_long,Fear,3,0.522589000000001,3.658123000000007,0.8571428571428571
@112,Fear,open_short,close_short,Fear,2,-0.2875003333333333,-0.862501,0.0
@112,Neutral,open_long,close_long,Neutral,0,,0.0,
@112,Neutral,open_short,close_short,Neutral,0,,0.0,
@112,Greed,open_long,close_long,Greed,3,-9.47535075,-37.901403,0.75
@112,Greed,open_short,close_short,Greed,2,-0.3663809999999999,-0.7327619999999999,0.0
@112,Extreme Greed,open_long,close_long,Extreme Greed,3,-23.758668,-118.79334,0.6
@112,Extreme Greed,open_short,close_short,Extreme Greed,2,-0.3663809999999999,-1.4655239999999998,0.0
@113,Extreme Fear,open_long,close_long,Extreme Fear,1,15.490203,15.490203,1.0
@113,Extreme Fear,open_short,close_short,Extreme Fear,2,-0.7226085,-2.890434,0.0
@113,Fear,open_long,close_long,Fear,2,7.455843,52.190901,1.0
@113,Fear,open_short,close_short,Fear,2,-0.7226085,-2.890434,0.0
@113,Neutral,open_long,close_long,Neutral,0,,0.0,
@113,Neutral,open_short,close_short,Neutral,0,,0.0,
@113,Greed,open_long,close_long,Greed,2,6.116782999999999,18.350349,1.0
@113,Greed,open_short,close_short,Greed,2,-0.7226085,-1.445217,0.0
@113,Extreme Greed,open_long,close_long,Extreme Greed,2,10.803492999999998,32.410478999999995,1.0
@113,Extreme Greed,open_short,close_short,Extreme Greed,2,-0.7226085,-2.890434,0.0
@114,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@114,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@114,Fear,open_long,close_long,Fear,1,1.308681,5.234724,1.0
@114,Fear,open_short,close_short,Fear,0,,0.0,
@114,Neutral,open_long,close_long,Neutral,0,,0.0,
@114,Neutral,open_short,close_short,Neutral,0,,0.0,
@114,Greed,open_long,close_long,Greed,1,1.308681,2.617362,1.0
@114,Greed,open_short,close_short,Greed,0,,0.0,
@114,Extreme Greed,open_long,close_long,Extreme Greed,1,1.308681,1.308681,1.0
@114,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@116,Extreme Fear,open_long,close_long,Extreme Fear,1,0.249631,0.249631,1.0
@116,Extreme Fear,open_short,close_short,Extreme Fear,1,-5.78348,-11.56696,0.0
@116,Fear,open_long,close_long,Fear,2,1.2281542,6.140771,1.0
@116,Fear,open_short,close_short,Fear,1,-5.78348,-11.56696,0.0
@116,Neutral,open_long,close_long,Neutral,1,0.249631,0.748893,1.0
@116,Neutral,open_short,close_short,Neutral,0,,0.0,
@116,Greed,open_long,close_long,Greed,2,1.065067,3.195201,1.0
@116,Greed,open_short,close_short,Greed,1,-5.78348,-5.78348,0.0
@116,Extreme Greed,open_long,close_long,Extreme Greed,2,0.861208,1.722416,1.0
@116,Extreme Greed,open_short,close_short,Extreme Greed,1,-5.78348,-11.56696,0.0
@117,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@117,Extreme Fear,open_short,close_short,Extreme Fear,2,-0.026825,-0.16095,0.0
@117,Fear,open_long,close_long,Fear,1,4.630284,18.521136,1.0
@117,Fear,open_short,close_short,Fear,2,-0.026825,-0.05365,0.0
@117,Neutral,open_long,close_long,Neutral,0,,0.0,
@117,Neutral,open_short,close_short,Neutral,0,,0.0,
@117,Greed,open_long,close_long,Greed,1,4.630284,9.260568,1.0
@117,Greed,open_short,close_short,Greed,2,-0.026825,-0.05365,0.0
@117,Extreme Greed,open_long,close_long,Extreme Greed,1,4.630284,4.630284,1.0
@117,Extreme Greed,open_short,close_short,Extreme Greed,2,-0.026825,-0.1073,0.0
@12,Extreme Fear,open_long,close_long,Extreme Fear,1,-0.002989,-0.002989,0.0
@12,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@12,Fear,open_long,close_long,Fear,1,-0.002989,-0.008967,0.0
@12,Fear,open_short,close_short,Fear,0,,0.0,
@12,Neutral,open_long,close_long,Neutral,0,,0.0,
@12,Neutral,open_short,close_short,Neutral,0,,0.0,
@12,Greed,open_long,close_long,Greed,1,-0.002989,-0.002989,0.0
@12,Greed,open_short,close_short,Greed,0,,0.0,
@12,Extreme Greed,open_long,close_long,Extreme Greed,1,-0.002989,-0.005978,0.0
@12,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@123,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@123,Extreme Fear,open_short,close_short,Extreme Fear,137,-0.0259321728395061,-8.402023999999999,0.0
@123,Fear,open_long,close_long,Fear,0,,0.0,
@123,Fear,open_short,close_short,Fear,137,-0.0259321728395061,-8.402023999999999,0.0
@123,Neutral,open_long,close_long,Neutral,0,,0.0,
@123,Neutral,open_short,close_short,Neutral,0,,0.0,
@123,Greed,open_long,close_long,Greed,0,,0.0,
@123,Greed,open_short,close_short,Greed,137,-0.0259321728395061,-4.201012,0.0
@123,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@123,Extreme Greed,open_short,close_short,Extreme Greed,137,-0.0259321728395061,-8.402023999999999,0.0
@124,Extreme Fear,open_long,close_long,Extreme Fear,5,-25.755868000000003,-386.33802,0.0
@124,Extreme Fear,open_short,close_short,Extreme Fear,1,-0.02878767,-0.08636301,0.0
@124,Fear,open_long,close_long,Fear,5,-25.755868,-128.77934,0.0
@124,Fear,open_short,close_short,Fear,1,-0.02878767,-0.02878767,0.0
@124,Neutral,open_long,close_long,Neutral,0,,0.0,
@124,Neutral,open_short,close_short,Neutral,0,,0.0,
@124,Greed,open_long,close_long,Greed,5,-25.755868,-128.77934,0.0
@124,Greed,open_short,close_short,Greed,1,-0.02878767,-0.02878767,0.0
@124,Extreme Greed,open_long,close_long,Extreme Greed,5,-25.755868,-257.55868,0.0
@124,Extreme Greed,open_short,close_short,Extreme Greed,1,-0.02878767,-0.05757534,0.0
@125,Extreme Fear,open_long,close_long,Extreme Fear,12,51.33878162068965,1488.824667,0.7241379310344828
@125,Extreme Fear,open_short,close_short,Extreme Fear,11,-0.041691479090909,-1.37581881,0.0
@125,Fear,open_long,close_long,Fear,14,-0.4399878148148143,-11.879670999999988,0.5555555555555556
@125,Fear,open_short,close_short,Fear,11,-0.041691479090909,-0.45860627,0.0
@125,Neutral,open_long,close_long,Neutral,0,,0.0,
@125,Neutral,open_short,close_short,Neutral,0,,0.0,
@125,Greed,open_long,close_long,Greed,14,14.709905777777776,264.778304,0.6111111111111112
@125,Greed,open_short,close_short,Greed,11,-0.041691479090909,-0.45860627,0.0
@125,Extreme Greed,open_long,close_long,Extreme Greed,14,35.122101791666665,842.930443,0.6666666666666666
@125,Extreme Greed,open_short,close_short,Extreme Greed,11,-0.041691479090909,-0.91721254,0.0
@13,Extreme Fear,open_long,close_long,Extreme Fear,2,-0.0707735,-0.141547,0.0
@13,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@13,Fear,open_long,close_long,Fear,2,-0.0707735,-0.283094,0.0
@13,Fear,open_short,close_short,Fear,0,,0.0,
@13,Neutral,open_long,close_long,Neutral,2,-0.0707735,-0.283094,0.0
@13,Neutral,open_short,close_short,Neutral,0,,0.0,
@13,Greed,open_long,close_long,Greed,2,-0.0707735,-0.141547,0.0
@13,Greed,open_short,close_short,Greed,0,,0.0,
@13,Extreme Greed,open_long,close_long,Extreme Greed,2,-0.0707735,-0.141547,0.0
@13,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@135,Extreme Fear,open_long,close_long,Extreme Fear,1,-5981.369216,-5981.369216,0.0
@135,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@135,Fear,open_long,close_long,Fear,1,-5981.369216,-5981.369216,0.0
@135,Fear,open_short,close_short,Fear,0,,0.0,
@135,Neutral,open_long,close_long,Neutral,1,-5981.369216,-17944.107648,0.0
@135,Neutral,open_short,close_short,Neutral,0,,0.0,
@135,Greed,open_long,close_long,Greed,1,-5981.369216,-5981.369216,0.0
@135,Greed,open_short,close_short,Greed,0,,0.0,
@135,Extreme Greed,open_long,close_long,Extreme Greed,1,-5981.369216,-5981.369216,0.0
@135,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@138,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@138,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@138,Fear,open_long,close_long,Fear,2,15.7003185,62.801274,1.0
@138,Fear,open_short,close_short,Fear,0,,0.0,
@138,Neutral,open_long,close_long,Neutral,4,10.9453613,109.453613,1.0
@138,Neutral,open_short,close_short,Neutral,0,,0.0,
@138,Greed,open_long,close_long,Greed,4,12.72847025,152.741643,1.0
@138,Greed,open_short,close_short,Greed,0,,0.0,
@138,Extreme Greed,open_long,close_long,Extreme Greed,4,13.719086333333337,82.314518,1.0
@138,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@14,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@14,Extreme Fear,open_short,close_short,Extreme Fear,15,-22.530858666666667,-675.92576,0.0
@14,Fear,open_long,close_long,Fear,0,,0.0,
@14,Fear,open_short,close_short,Fear,15,-22.530858666666667,-1013.88864,0.0
@14,Neutral,open_long,close_long,Neutral,0,,0.0,
@14,Neutral,open_short,close_short,Neutral,0,,0.0,
@14,Greed,open_long,close_long,Greed,0,,0.0,
@14,Greed,open_short,close_short,Greed,15,-22.530858666666667,-675.92576,0.0
@14,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@14,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@142,Extreme Fear,open_long,close_long,Extreme Fear,273,27.28923945392492,15991.49432,0.8242320819112628
@142,Extreme Fear,open_short,close_short,Extreme Fear,621,-1.7751480029048656e-06,-0.0024443788,0.0
@142,Fear,open_long,close_long,Fear,273,22.2976157258348,12687.343348,0.7205623901581723
@142,Fear,open_short,close_short,Fear,621,-2.069389449801474e-06,-0.0036483336,0.0
@142,Neutral,open_long,close_long,Neutral,217,5.608721946511628,2411.750437,0.7976744186046512
@142,Neutral,open_short,close_short,Neutral,570,-1.033376480836237e-06,-0.0011863162,0.0
@142,Greed,open_long,close_long,Greed,273,26.79203422478992,25506.016582,0.8781512605042017
@142,Greed,open_short,close_short,Greed,621,-1.6856567818298145e-06,-0.0052693631,0.0
@142,Extreme Greed,open_long,close_long,Extreme Greed,136,9.79385872327044,1557.223537,0.6037735849056604
@142,Extreme Greed,open_short,close_short,Extreme Greed,124,-5.85995e-06,-0.0009961915,0.0
@147,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@147,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@147,Fear,open_long,close_long,Fear,5,-70.1677014,-701.677014,0.0
@147,Fear,open_short,close_short,Fear,0,,0.0,
@147,Neutral,open_long,close_long,Neutral,5,-70.1677014,-350.838507,0.0
@147,Neutral,open_short,close_short,Neutral,0,,0.0,
@147,Greed,open_long,close_long,Greed,5,-70.1677014,-1052.515521,0.0
@147,Greed,open_short,close_short,Greed,0,,0.0,
@147,Extreme Greed,open_long,close_long,Extreme Greed,5,-70.1677014,-701.677014,0.0
@147,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@15,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@15,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@15,Fear,open_long,close_long,Fear,0,,0.0,
@15,Fear,open_short,close_short,Fear,0,,0.0,
@15,Neutral,open_long,close_long,Neutral,0,,0.0,
@15,Neutral,open_short,close_short,Neutral,0,,0.0,
@15,Greed,open_long,close_long,Greed,0,,0.0,
@15,Greed,open_short,close_short,Greed,0,,0.0,
@15,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@15,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@151,Extreme Fear,open_long,close_long,Extreme Fear,254,38.461450705685614,22999.947522,0.959866220735786
@151,Extreme Fear,open_short,close_short,Extreme Fear,16,-0.0003083483181818,-0.013567326,0.0
@151,Fear,open_long,close_long,Fear,254,35.88892158550725,12381.677947,0.9188405797101448
@151,Fear,open_short,close_short,Fear,16,-0.0003038405,-0.009115215,0.0
@151,Neutral,open_long,close_long,Neutral,73,61.97911350632912,4896.349967,0.8860759493670886
@151,Neutral,open_short,close_short,Neutral,4,-5.45865e-05,-0.000218346,0.0
@151,Greed,open_long,close_long,Greed,254,37.60949580101303,51976.323197,0.97178002894356
@151,Greed,open_short,close_short,Greed,16,-0.0002594698333333,-0.009340914,0.0
@151,Extreme Greed,open_long,close_long,Extreme Greed,4,-12.35988025,-49.439521,0.0
@151,Extreme Greed,open_short,close_short,Extreme Greed,14,-0.0003228565,-0.004519991,0.0
@152,Extreme Fear,open_long,close_long,Extreme Fear,84,-0.0584514545454545,-5.143728,0.0
@152,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@152,Fear,open_long,close_long,Fear,84,-0.0584514545454545,-15.431184,0.0
@152,Fear,open_short,close_short,Fear,0,,0.0,
@152,Neutral,open_long,close_long,Neutral,84,-0.0584514545454545,-5.143728,0.0
@152,Neutral,open_short,close_short,Neutral,0,,0.0,
@152,Greed,open_long,close_long,Greed,84,-0.0584514545454545,-15.431184,0.0
@152,Greed,open_short,close_short,Greed,0,,0.0,
@152,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@152,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@153,Extreme Fear,open_long,close_long,Extreme Fear,96,0.3031255172413793,52.74384,0.8390804597701149
@153,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@153,Fear,open_long,close_long,Fear,96,0.0891712101910828,13.99988,0.464968152866242
@153,Fear,open_short,close_short,Fear,0,,0.0,
@153,Neutral,open_long,close_long,Neutral,96,0.2366090297029703,23.897512,0.7227722772277227
@153,Neutral,open_short,close_short,Neutral,0,,0.0,
@153,Greed,open_long,close_long,Greed,96,0.2673905957446809,100.538864,0.776595744680851
@153,Greed,open_short,close_short,Greed,0,,0.0,
@153,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@153,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@16,Extreme Fear,open_long,close_long,Extreme Fear,2,-0.036239,-0.072478,0.0
@16,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@16,Fear,open_long,close_long,Fear,2,-0.0362389999999999,-0.1449559999999999,0.0
@16,Fear,open_short,close_short,Fear,0,,0.0,
@16,Neutral,open_long,close_long,Neutral,2,-0.0362389999999999,-0.1449559999999999,0.0
@16,Neutral,open_short,close_short,Neutral,0,,0.0,
@16,Greed,open_long,close_long,Greed,2,-0.036239,-0.072478,0.0
@16,Greed,open_short,close_short,Greed,0,,0.0,
@16,Extreme Greed,open_long,close_long,Extreme Greed,2,-0.036239,-0.072478,0.0
@16,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@17,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@17,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@17,Fear,open_long,close_long,Fear,0,,0.0,
@17,Fear,open_short,close_short,Fear,0,,0.0,
@17,Neutral,open_long,close_long,Neutral,0,,0.0,
@17,Neutral,open_short,close_short,Neutral,0,,0.0,
@17,Greed,open_long,close_long,Greed,0,,0.0,
@17,Greed,open_short,close_short,Greed,0,,0.0,
@17,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@17,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@18,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@18,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@18,Fear,open_long,close_long,Fear,0,,0.0,
@18,Fear,open_short,close_short,Fear,0,,0.0,
@18,Neutral,open_long,close_long,Neutral,0,,0.0,
@18,Neutral,open_short,close_short,Neutral,0,,0.0,
@18,Greed,open_long,close_long,Greed,0,,0.0,
@18,Greed,open_short,close_short,Greed,0,,0.0,
@18,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@18,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@19,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@19,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@19,Fear,open_long,close_long,Fear,0,,0.0,
@19,Fear,open_short,close_short,Fear,0,,0.0,
@19,Neutral,open_long,close_long,Neutral,0,,0.0,
@19,Neutral,open_short,close_short,Neutral,0,,0.0,
@19,Greed,open_long,close_long,Greed,0,,0.0,
@19,Greed,open_short,close_short,Greed,0,,0.0,
@19,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@19,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@2,Extreme Fear,open_long,close_long,Extreme Fear,1,-1.075763,-3.227289,0.0
@2,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@2,Fear,open_long,close_long,Fear,1,-1.075763,-1.075763,0.0
@2,Fear,open_short,close_short,Fear,0,,0.0,
@2,Neutral,open_long,close_long,Neutral,0,,0.0,
@2,Neutral,open_short,close_short,Neutral,0,,0.0,
@2,Greed,open_long,close_long,Greed,1,-1.075763,-1.075763,0.0
@2,Greed,open_short,close_short,Greed,0,,0.0,
@2,Extreme Greed,open_long,close_long,Extreme Greed,1,-1.075763,-2.151526,0.0
@2,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@20,Extreme Fear,open_long,close_long,Extreme Fear,15,0.2138456818181818,4.704605,0.0909090909090909
@20,Extreme Fear,open_short,close_short,Extreme Fear,11,-60.086098666666665,-901.29148,0.0
@20,Fear,open_long,close_long,Fear,15,0.3451535853658536,14.151297,0.1463414634146341
@20,Fear,open_short,close_short,Fear,22,-34.65520360655738,-2113.96742,0.0
@20,Neutral,open_long,close_long,Neutral,15,0.31434,4.7151000000000005,0.1333333333333333
@20,Neutral,open_short,close_short,Neutral,22,-23.76419222222222,-855.5109199999999,0.0
@20,Greed,open_long,close_long,Greed,15,0.4104650000000001,9.440695000000002,0.1739130434782608
@20,Greed,open_short,close_short,Greed,22,-30.07765342105263,-1142.95083,0.0
@20,Extreme Greed,open_long,close_long,Extreme Greed,4,-0.00149925,-0.005997,0.0
@20,Extreme Greed,open_short,close_short,Extreme Greed,11,-6.819147272727273,-75.01062,0.0
@21,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@21,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@21,Fear,open_long,close_long,Fear,0,,0.0,
@21,Fear,open_short,close_short,Fear,0,,0.0,
@21,Neutral,open_long,close_long,Neutral,0,,0.0,
@21,Neutral,open_short,close_short,Neutral,0,,0.0,
@21,Greed,open_long,close_long,Greed,0,,0.0,
@21,Greed,open_short,close_short,Greed,0,,0.0,
@21,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@21,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@23,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@23,Extreme Fear,open_short,close_short,Extreme Fear,31,-0.0324843824528301,-1.72167227,0.0
@23,Fear,open_long,close_long,Fear,0,,0.0,
@23,Fear,open_short,close_short,Fear,21,-0.0309437822580645,-0.95925725,0.0
@23,Neutral,open_long,close_long,Neutral,0,,0.0,
@23,Neutral,open_short,close_short,Neutral,13,-0.0324094607692307,-1.26396897,0.0
@23,Greed,open_long,close_long,Greed,0,,0.0,
@23,Greed,open_short,close_short,Greed,31,-0.0327255403092783,-3.17437741,0.0
@23,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@23,Extreme Greed,open_short,close_short,Extreme Greed,31,-0.0324696251515151,-1.07149763,0.0
@24,Extreme Fear,open_long,close_long,Extreme Fear,2,-0.0019225,-0.003845,0.0
@24,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@24,Fear,open_long,close_long,Fear,2,-0.0019225,-0.011535,0.0
@24,Fear,open_short,close_short,Fear,0,,0.0,
@24,Neutral,open_long,close_long,Neutral,0,,0.0,
@24,Neutral,open_short,close_short,Neutral,0,,0.0,
@24,Greed,open_long,close_long,Greed,2,-0.0019225,-0.003845,0.0
@24,Greed,open_short,close_short,Greed,0,,0.0,
@24,Extreme Greed,open_long,close_long,Extreme Greed,2,-0.0019225,-0.00769,0.0
@24,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@25,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@25,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@25,Fear,open_long,close_long,Fear,0,,0.0,
@25,Fear,open_short,close_short,Fear,0,,0.0,
@25,Neutral,open_long,close_long,Neutral,0,,0.0,
@25,Neutral,open_short,close_short,Neutral,0,,0.0,
@25,Greed,open_long,close_long,Greed,0,,0.0,
@25,Greed,open_short,close_short,Greed,0,,0.0,
@25,Extreme Greed,open_long,close_long,Extreme Greed,0,,0.0,
@25,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@26,Extreme Fear,open_long,close_long,Extreme Fear,8,-0.033283,-0.266264,0.0
@26,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@26,Fear,open_long,close_long,Fear,8,-0.033283,-0.532528,0.0
@26,Fear,open_short,close_short,Fear,0,,0.0,
@26,Neutral,open_long,close_long,Neutral,8,-0.033283,-0.532528,0.0
@26,Neutral,open_short,close_short,Neutral,0,,0.0,
@26,Greed,open_long,close_long,Greed,8,-0.033283,-0.266264,0.0
@26,Greed,open_short,close_short,Greed,0,,0.0,
@26,Extreme Greed,open_long,close_long,Extreme Greed,8,-0.033283,-0.266264,0.0
@26,Extreme Greed,open_short,close_short,Extreme Greed,0,,0.0,
@28,Extreme Fear,open_long,close_long,Extreme Fear,0,,0.0,
@28,Extreme Fear,open_short,close_short,Extreme Fear,0,,0.0,
@28,Fear,open_long,close_long,Fear,0,,0.0,
@28,Fear,open_short,close_short,Fear,0,,0.0,
@28,Neutral,open_long,close_long,Neutral,0,,0.0,
